FeedbackID,SurveyType,SurveyDate,BU,Dept,EmployeeGroup,Comment
F000001,Exit Interview,2026-03-04,Engineering,Platform,Senior,"Manager was great, but the salary has not kept up with the market. I've been interviewing and just accepted an offer elsewhere. Loved the team, burned out on the workload."
F000002,Pulse Survey,2026-03-05,Sales,EMEA Field,Junior,"No comment."
F000003,Staff Survey,2026-03-06,Engineering,Platform,Mid,"Recognition has been excellent this year. My skip-level is responsive and clear. Tools are outdated though — VPN drops constantly and the laptop is slow."
F000004,Pulse Survey,2026-03-06,Operations,Support,Junior,"Workload is brutal. We're understaffed, deadlines are unrealistic, and the late nights are killing my work-life balance. Looking for a new opportunity."
F000005,Staff Survey,2026-03-07,HR,Talent,Mid,"Career development is invisible here. No clear path to promotion, mentorship is non-existent, and the L&D budget is a joke."
F000006,Exit Interview,2026-03-08,Engineering,Data,Senior,"Leadership has lost the plot. Vision keeps changing every quarter, layoffs last year destroyed morale, and the strategy is unclear. I am resigning."
F000007,Pulse Survey,2026-03-09,Finance,Controllership,Mid,"Great culture, supportive team, fair compensation. The office pantry could be better but honestly happy here."
F000008,Pulse Survey,2026-03-09,Sales,APAC Field,Senior,"Communication from HQ is poor. Town halls are scripted, the all-hands never addresses the real issues, and we feel out of the loop on strategy."
F000009,Staff Survey,2026-03-10,Engineering,Mobile,Junior,"Onboarding was rough. No buddy, first week was confusing, ramp took months. Once I got going, the team has been great."
F000010,Pulse Survey,2026-03-10,Operations,Support,Mid,"Customer stakeholders are demanding and unreasonable. We need better tooling and clearer escalation paths. Otherwise the team is solid."
F000011,Exit Interview,2026-03-11,Engineering,Platform,Mid,"Compensation is the main reason I'm leaving. Got an offer paying 30% more. Otherwise I would have stayed — manager was supportive and the work was meaningful."
F000012,Staff Survey,2026-03-12,HR,Talent,Senior,"DEI efforts have stalled. Leadership talks a good game but representation at the senior level has not changed. Disappointed."
F000013,Pulse Survey,2026-03-13,Operations,Logistics,Junior,"Workspace is fine, hours are okay, just boring work. Need more stretch assignments."
F000014,Pulse Survey,2026-03-13,Finance,FP&A,Mid,"Good performance review process, clear KPIs, fair appraisal. Happy with the job overall."
F000015,Exit Interview,2026-03-14,Engineering,Security,Senior,"Burned out. Constant on-call, no work-life balance, recognition is non-existent despite carrying the team. Resigning — already signed an offer."
F000016,Staff Survey,2026-03-15,Sales,Americas Field,Mid,"Travel allowance was cut. Otherwise compensation is fine. The customer travel expectations have not changed, which feels unfair."
F000017,Pulse Survey,2026-03-15,HR,People Ops,Junior,"Management micromanages. Every decision needs three approvals. Frustrating."
F000018,Pulse Survey,2026-03-16,Engineering,Platform,Senior,"Career growth is real here. I was promoted last cycle and the mentorship programme was excellent. Salary could be better but I'm staying."
F000019,Staff Survey,2026-03-17,Operations,Support,Mid,"Diverse and inclusive culture, but workload is brutal and pay is below market. Mixed feelings."
F000020,Pulse Survey,2026-03-17,Engineering,Data,Junior,"Tools and tech stack are outdated. Productivity would jump if we moved off the legacy platform. Otherwise happy."
